,Unnamed: 0,mz,intensity,rel.intensity,theo.mass,delta,rdb.equiv,comp,add.info,sample,rep,carbons,hydrogens,oxygens,nitrogens,phosphates,carbon_isotope,fullsample,sample_loc_row,slope,yint,error,correctedmz,em,mf,unsat,chemcalc_error,ppm,info
3236,3237,741.5521,7672.0,0.45,741.5524,-0.38,6.5,C37 [13]C6 H76 O7 P ,,ko6,2,37,76,7,0,1,6,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,741.5525,740.546839,C41H77N2O7P,5.0,0.001602,2.1639,N2PO7C41H77
3237,3238,741.5717,12706.2,0.75,741.5718,-0.09,6.5,C36 [13]C7 H77 O6 N P ,,ko6,2,36,77,6,1,1,7,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,741.5721,740.565344,C38[13C]4H77N2O6P,6.0,0.000507,0.6849,N2PO6[13C]4C38H77
3238,3239,741.5841,72442.8,4.26,741.5844,-0.3,6.0,C37 [13]C7 H79 O6 P ,,ko6,2,37,79,6,0,1,7,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,741.5845,740.578157,C26[13C]14H75N2O7P,5.0,0.00092,1.2424,N2PO7[13C]14C26H75
3239,3240,741.592,72671.3,4.27,741.592,-0.03,13.5,C47 [13]C3 H76 O3 N ,,ko6,2,47,76,3,1,0,3,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,741.5924,740.583849,C35[13C]8H77N2O5P,7.0,-0.001288,-1.7393,N2PO5[13C]8C35H77
3240,3241,741.6701,4823.3,0.28,741.6702,-0.07,-1.0,C36 [13]C6 H90 O6 N P ,,ko6,2,36,90,6,1,1,6,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,741.6705,740.663715,C38[13C]3H90N2O6P,-1.5,0.000478,0.645,N2PO6[13C]3C38H90
3241,3242,742.5341,8809.2,0.52,742.5337,0.41,5.0,C40 [13]C H76 O8 N P ,,ko6,2,40,76,8,1,1,1,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,742.5345,741.527843,C35[13C]6H72N2O7P,7.5,0.000606,0.8177,N2PO7[13C]6C35H72
3242,3243,742.5622,6853.6,0.4,742.5623,-0.08,11.5,C38 [13]C8 H72 O6 N ,,ko6,2,38,72,6,1,0,8,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,742.5626,741.555288,C34[13C]8H74N2O6P,7.5,-0.000049,-0.0655,N2PO6[13C]8C34H74
3243,3244,742.5744,20510.4,1.2,742.5745,-0.1,3.5,C42 H81 O7 N P ,,ko6,2,42,81,7,1,1,0,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,742.5748,741.568699,C37[13C]5H77N2O6P,6.0,0.001162,1.567,N2PO6[13C]5C37H77
3244,3245,742.5874,33666.1,1.98,742.5871,0.31,3.0,C43 H83 O7 P ,,ko6,2,43,83,7,0,1,0,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,742.5878,741.581512,C25[13C]15H75N2O7P,5.0,0.000975,1.3147,N2PO7[13C]15C25H75
3245,3246,742.5955,36270.1,2.13,742.5954,0.15,13.5,C46 [13]C4 H76 O3 N ,,ko6,2,46,76,3,1,0,4,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,742.5959,741.587204,C34[13C]9H77N2O5P,7.0,-0.001433,-1.9327,N2PO5[13C]9C34H77
3246,3247,743.5661,6285.7,0.37,743.566,0.14,15.0,C43 [13]C7 H72 O4 ,,ko6,2,43,72,4,0,0,7,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,743.5665,742.558643,C33[13C]9H74N2O6P,7.5,-0.000594,-0.7996,N2PO6[13C]9C33H74
3247,3248,743.5779,13596.8,0.8,743.5779,0.06,3.5,C41 [13]C H81 O7 N P ,,ko6,2,41,81,7,1,1,1,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,743.5783,742.572054,C36[13C]6H77N2O6P,6.0,0.001017,1.3694,N2PO6[13C]6C36H77
