,Unnamed: 0,mz,intensity,rel.intensity,theo.mass,delta,rdb.equiv,comp,add.info,sample,rep,carbons,hydrogens,oxygens,nitrogens,phosphates,carbon_isotope,fullsample,sample_loc_row,slope,yint,error,correctedmz,em,mf,unsat,chemcalc_error,ppm,info
3406,3407,777.6102,17872.1,1.05,777.61,0.21,3.5,C38 [13]C6 H84 O8 P ,,ko6,2,38,84,8,0,1,6,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,777.6106,776.60352,C40[13C]3H84NO8P,3.0,0.000183,0.2354,NPO8[13C]3C40H84
3407,3408,777.7287,9942.1,0.58,777.7286,0.09,3.0,C49 [13]C H96 O5 ,,ko6,2,49,96,5,0,0,1,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,777.7291,776.720395,C37[13C]6H97NO7P,-3.5,-0.001442,-1.8564,NPO7[13C]6C37H97
3408,3409,778.5735,15459.5,0.91,778.5737,-0.22,7.5,C43 [13]C3 H80 O7 P ,,ko6,2,43,80,7,0,1,3,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,778.5739,777.566643,C30[13C]13H75NO8P,7.5,0.000006,0.0076,NPO8[13C]13C30H75
3409,3410,778.6136,9861.3,0.58,778.6133,0.23,3.5,C37 [13]C7 H84 O8 P ,,ko6,2,37,84,8,0,1,7,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,778.614,777.606875,C39[13C]4H84NO8P,3.0,0.000138,0.177,NPO8[13C]4C39H84
3410,3411,778.6913,4838.7,0.28,778.6914,-0.1,0.0,C42 [13]C3 H94 O6 N P ,,ko6,2,42,94,6,1,1,3,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,778.6917,777.682894,C34[13C]8H92NO8P,-2.0,-0.001543,-1.9838,NPO8[13C]8C34H92
3411,3412,778.7327,5231.0,0.31,778.7326,0.09,2.0,C50 H99 O3 P ,,ko6,2,50,99,3,0,1,0,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,778.7331,777.72375,C36[13C]7H97NO7P,-3.5,-0.002087,-2.6835,NPO7[13C]7C36H97
3412,3413,779.569,6772.0,0.4,779.5689,0.07,7.5,C42 [13]C3 H79 O7 N P ,,ko6,2,42,79,7,1,1,3,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,779.5694,778.561655,C42[13C]3H78NO7P,8.0,-0.000482,-0.6191,NPO7[13C]3C42H78
3413,3414,779.5767,8725.3,0.51,779.577,-0.33,7.5,C42 [13]C4 H80 O7 P ,,ko6,2,42,80,7,0,1,4,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,779.5771,778.569998,C29[13C]14H75NO8P,7.5,0.000161,0.2064,NPO8[13C]14C29H75
3414,3415,779.6169,9053.0,0.53,779.6172,-0.26,7.0,C42 [13]C5 H82 O8 ,,ko6,2,42,82,8,0,0,5,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,779.6173,778.610229,C38[13C]5H84NO8P,3.0,0.000192,0.2472,NPO8[13C]5C38H84
3415,3416,779.7361,4589.2,0.27,779.7361,-0.03,2.0,C49 H97 O5 N ,,ko6,2,49,97,5,1,0,0,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,779.7365,778.727105,C35[13C]8H97NO7P,-3.5,-0.002132,-2.7381,NPO7[13C]8C35H97
