mz,intensity,rel.intensity,theo.mass,delta,rdb,comp,sample
661.6876,609843.8,0.29,661.6504,37.19,2.5,C44 H85 O3 ,sc_nuc_1
662.441,3421802.3,1.62,662.4402,0.72,3.5,C34 H65 O9 N P ,sc_nuc_1
662.4773,923347.5,0.44,662.4766,0.65,2.5,C35 H69 O8 N P ,sc_nuc_1
662.6908,182541.8,0.09,662.6582,32.52,2,C44 H86 O3 ,sc_nuc_1
663.0464,308420.1,0.15,663.1511,-104.73,20,C33 H30 O12 N P ,sc_nuc_1
663.4442,1120128.3,0.53,663.4422,1.99,12,C41 H62 O4 N P ,sc_nuc_1
663.4809,234605.5,0.11,663.4786,2.36,11,C42 H66 O3 N P ,sc_nuc_1
664.4565,1169661,0.55,664.4559,0.64,2.5,C34 H67 O9 N P ,sc_nuc_1
664.5896,233652.7,0.11,664.5885,1.06,3.5,C41 H78 O5 N ,sc_nuc_1
665.0419,393757.2,0.19,665.143,-101.01,19.5,C33 H30 O13 P ,sc_nuc_1
665.4407,719403.1,0.34,665.4399,0.8,2.5,C34 H66 O10 P ,sc_nuc_1
665.4599,271901.5,0.13,665.4578,2.08,11,C41 H64 O4 N P ,sc_nuc_1
665.5367,398637.3,0.19,665.5365,0.23,0,C36 H76 O7 N P ,sc_nuc_1
666.4442,186909.4,0.09,666.4434,0.79,2.5,C33 H64 O12 N ,sc_nuc_1
666.6049,393711,0.19,666.6042,0.69,2.5,C41 H80 O5 N ,sc_nuc_1
667.0211,196026.2,0.09,667.146,-124.96,19,C32 H30 O13 N P ,sc_nuc_1
667.0577,566703.6,0.27,667.146,-88.36,19,C32 H30 O13 N P ,sc_nuc_1
667.5524,178364.2,0.08,667.5521,0.26,-1,C36 H78 O7 N P ,sc_nuc_1
668.5764,382402.2,0.18,668.5752,1.13,2.5,C40 H79 O4 N P ,sc_nuc_1
669.4381,211540.7,0.1,669.4375,0.61,6,C36 H64 O8 N P ,sc_nuc_1
669.5682,272096.5,0.13,669.5675,0.68,2.5,C40 H77 O7 ,sc_nuc_1
670.572,192332.7,0.09,670.5753,-3.26,2,C40 H78 O7 ,sc_nuc_1
670.5918,334574.5,0.16,670.5909,0.92,1.5,C40 H81 O4 N P ,sc_nuc_1
671.0326,212420.4,0.1,671.1409,-108.38,18,C31 H30 O14 N P ,sc_nuc_1
671.4482,267911.5,0.13,671.4473,0.89,14,C43 H62 O3 N P ,sc_nuc_1
671.4665,327110.2,0.16,671.4657,0.72,4.5,C37 H68 O8 P ,sc_nuc_1
672.4981,1625927.3,0.77,672.4974,0.73,3.5,C37 H71 O7 N P ,sc_nuc_1
673.482,591398.8,0.28,673.4814,0.65,3.5,C37 H70 O8 P ,sc_nuc_1
673.5014,554337.3,0.26,673.4982,3.24,-1,C33 H71 O12 N ,sc_nuc_1
674.513,157557,0.07,674.513,-0.02,2.5,C37 H73 O7 N P ,sc_nuc_1
678.4724,744943.5,0.35,678.4715,0.84,2.5,C35 H69 O9 N P ,sc_nuc_1
679.5082,305364.3,0.14,679.5072,0.96,5.5,C40 H72 O6 P ,sc_nuc_1
